,nicd_no,original_no,ecological_zone,locality,village,longitude,latitude,date,temp_indoor,sat_temp,sat_temp_min,sat_temp_max,satelite_outdoor_rh,temp,rh,li,ws,resting_site,material_type,resting_surface,material_colour,movability,morphological_id,molecular_id,sp_elisa,species,blood_source,point_x,point_y,days_count,date_label,mosquito_ID,SDT_24.11,SDT_24.23,SDT_24.90,SDT_24.94,SDT_25.26,SDT_25.43,SDT_25.60,SDT_25.68,SDT_25.71,SDT_26.38,SDT_27.19,SDT_27.27,SDT_27.36,SDT_27.64,SDT_27.90,avg_sim_sat,observed_date_level_SDT,model_predicted_Mean_Temp,mean_simulated_MRST
58,GH107,GH107,Coastal Savanna,Gomoa East,Okyereko,N05-24.828,W000-36.284,9/15/2011,29.83,25.26,23.47,27.64,83.34,27.7,79,0,0,Mosquito net,Polyester,R_2,Blue,Yes,gambiae,gambiae,negative,coluzzii,undetected,-0.602158232,5.421280142,4,15-Sep-11,58,28.65,31.32,31.99,27.82,27.31,27.32,26.34,29.98,28.73,32.84,30.22,31.96,31.76,32.09,32.38,30.05,25.26,28.53219165,28.50186368
59,GH108,GH108,Coastal Savanna,Gomoa East,Okyereko,N05-24.829,W000-36.285,9/15/2011,29.83,25.26,23.47,27.64,83.34,27.6,78,0,0,Mosquito net,Polyester,R_2,Blue,Yes,gambiae,gambiae,negative,gambiae,Human,-0.602168232,5.421290142,4,15-Sep-11,59,27.53,26.44,27.12,24.69,29.2,33.08,30.68,31.62,31.78,28.31,32.64,27.83,31.98,30.45,31.93,29.69,25.26,28.53219165,28.5965575
60,GH109,GH109,Coastal Savanna,Gomoa East,Okyereko,N05-24.830,W000-36.286,9/15/2011,29.83,25.26,23.47,27.64,83.34,27.7,78,0,0,Mosquito net,Polyester,R_2,Blue,Yes,gambiae,gambiae,negative,coluzzii,Human,-0.602178232,5.421300142,4,15-Sep-11,60,27.76,27.11,27.61,26.25,26.27,30.34,27.2,27.56,28.44,25.43,30.81,29.27,27.73,35.96,32.09,28.66,25.26,28.53219165,28.40502649
61,GH110,GH110,Coastal Savanna,Gomoa East,Okyereko,N05-24.831,W000-36.287,9/15/2011,29.83,25.26,23.47,27.64,83.34,27.4,77.5,0,0,Wall,Cement,R_3,Blue,No,gambiae,gambiae,negative,coluzzii,undetected,-0.602188232,5.421310142,4,15-Sep-11,61,28.15,30.78,28.04,30.32,29.02,27.82,28.57,27.6,26.21,34.26,30.3,31.07,32.04,34.39,34.7,30.22,25.26,28.53219165,28.32584352
62,GH111,GH111,Coastal Savanna,Gomoa East,Okyereko,N05-24.832,W000-36.288,9/15/2011,29.83,25.26,23.47,27.64,83.34,27.4,77.5,0,0,Wall,Cement,R_3,Blue,No,gambiae,gambiae,negative,coluzzii,undetected,-0.602198232,5.421320142,4,15-Sep-11,62,26.01,30.51,29.01,30.36,31.22,30.43,26.55,29.74,32.73,28.43,29.29,27.01,28.3,32.58,32.07,29.62,25.26,28.53219165,28.43956936
63,GH114,GH114,Coastal Savanna,Gomoa East,Okyereko,N05-24.833,W000-36.289,9/15/2011,29.83,25.26,23.47,27.64,83.34,27.1,78.7,0,0,Wall,Cement,R_3,White,No,gambiae,gambiae,negative,coluzzii,Human,-0.602208232,5.421330142,4,15-Sep-11,63,26.42,24.72,29.74,33.04,29.77,25.78,29.05,29.75,28.47,32.56,32.88,30.7,32.02,29.99,26.5,29.43,25.26,28.53219165,28.5058582
64,GH115,GH115,Coastal Savanna,Gomoa East,Okyereko,N05-24.834,W000-36.290,9/15/2011,29.83,25.26,23.47,27.64,83.34,28.5,76,0,0,Wall,Cement,R_3,White,No,gambiae,gambiae,negative,coluzzii,undetected,-0.602218232,5.421340142,4,15-Sep-11,64,24.76,25.25,31.32,28.16,31.04,28.39,30.11,32.34,28.35,31.31,33.48,30.71,29.4,33.61,32.52,30.05,25.26,28.53219165,28.49624352
65,GH116,GH116,Coastal Savanna,Gomoa East,Okyereko,N05-24.835,W000-36.291,9/15/2011,29.83,25.26,23.47,27.64,83.34,29,75.8,0,0,Box,Card Board,R_3,Multicoloured,Yes,gambiae,gambiae,negative,coluzzii,Human,-0.602228232,5.421350142,4,15-Sep-11,65,24.63,24.07,27.89,24.54,25.88,32.13,30.14,30.18,28.4,33.82,30.76,30.13,29.25,32.97,30.73,29.04,25.26,28.53219165,28.66096544
66,GH117,GH117,Coastal Savanna,Gomoa East,Okyereko,N05-24.836,W000-36.292,9/15/2011,29.83,25.26,23.47,27.64,83.34,29.1,73.9,0,0,Shelf,Wood,R_1,Normal,No,gambiae,gambiae,negative,coluzzii,Human,-0.602238232,5.421360142,4,15-Sep-11,66,27.97,27.81,28.6,26.31,28.67,28.27,26.31,29.36,29.18,29.7,38.65,27.66,31.91,27.71,33.56,29.44,25.26,28.53219165,28.63032524
67,GH118,GH118,Coastal Savanna,Gomoa East,Okyereko,N05-24.837,W000-36.293,9/15/2011,29.83,25.26,23.47,27.64,83.34,29.4,71.4,0,0,Bowl,Plastic,R_3,Transparent,Yes,gambiae,gambiae,negative,coluzzii,Human/Goat,-0.602248232,5.421370142,4,15-Sep-11,67,28.32,27.77,34.16,29.16,30.03,30.93,31.97,31.05,23.41,29.07,30.7,33.63,31.79,34.1,29.39,30.37,25.26,28.53219165,28.39476625
68,GH121,GH121,Coastal Savanna,Gomoa East,Okyereko,N05-24.838,W000-36.294,9/15/2011,29.83,25.26,23.47,27.64,83.34,29.5,72.7,0,0,Belt buckle,Metal,R_3,Silver,Yes,gambiae,gambiae,negative,coluzzii,undetected,-0.602258232,5.421380142,4,15-Sep-11,68,27.36,28.25,29.17,32.78,25.94,28.19,32.54,27.69,30.7,34,37.81,27.2,30.3,33.3,30.91,30.41,25.26,28.53219165,28.5411106
69,GH125,GH125,Coastal Savanna,Gomoa East,Okyereko,N05-24.839,W000-36.295,9/15/2011,29.83,25.26,23.47,27.64,83.34,29.8,71.3,6,0,Clothing,Cotton,R_2,Green camouflage,Yes,gambiae,gambiae,negative,coluzzii,Human,-0.602268232,5.421390142,4,15-Sep-11,69,29.47,28.71,28.58,28.44,32.33,23.15,29.82,31.66,30.79,35.03,30.39,27.22,29.12,30.77,27.78,29.55,25.26,28.53219165,28.56413923
70,GH130,GH130,Coastal Savanna,Gomoa East,Okyereko,N05-24.840,W000-36.296,9/15/2011,29.83,25.26,23.47,27.64,83.34,30.1,70.3,7,0,Wall,Cement,R_3,Green,Yes,gambiae,gambiae,negative,coluzzii,Human,-0.602278232,5.421400142,4,15-Sep-11,70,32.21,25.91,24.87,30.94,26.02,26.59,29.3,26.52,30.57,30.57,26.9,29.39,31.38,36.83,27.91,29.06,25.26,28.53219165,28.87336549
71,GH135,GH135,Coastal Savanna,Gomoa East,Okyereko,N05-24.841,W000-36.297,9/15/2011,29.83,25.26,23.47,27.64,83.34,30.9,68.3,0,0,Curtain,Satin,R_2,Blue/White,Yes,gambiae,gambiae,negative,coluzzii,Human,-0.602288232,5.421410142,4,15-Sep-11,71,26.04,24.96,28.13,30.03,28.93,29.26,29.1,29.83,28.04,30.21,27.25,34.56,30.79,33.53,27.28,29.2,25.26,28.53219165,28.40757039
72,GH140,GH140,Coastal Savanna,Gomoa East,Okyereko,N05-24.842,W000-36.298,9/15/2011,29.83,25.26,23.47,27.64,83.34,29.9,69.8,0,0,Eves Cover,Card Board,R_3,Brown,No,gambiae,gambiae,negative,coluzzii,Human,-0.602298232,5.421420142,4,15-Sep-11,72,21.63,29.86,27.59,25.34,28.9,32.24,29.54,24.86,29.28,31.6,28.6,31.06,33.23,29.97,31.57,29.02,25.26,28.53219165,28.44962057
73,GH145,GH145,Coastal Savanna,Gomoa East,Okyereko,N05-24.843,W000-36.299,9/15/2011,29.83,25.26,23.47,27.64,83.34,28.9,76.4,0,0,Window Netting,Nylon,R_2,Green,No,gambiae,gambiae,negative,coluzzii,Human,-0.602308232,5.421430142,4,15-Sep-11,73,29.67,29.19,28.1,27.76,28.83,27.28,29.83,29.6,25.56,28.16,34.3,31.43,29.37,33.48,24.86,29.16,25.26,28.53219165,28.61195617
74,GH147,GH147,Coastal Savanna,Gomoa East,Okyereko,N05-24.844,W000-36.300,9/15/2011,29.83,25.26,23.47,27.64,83.34,28.9,76.4,0,0,Window Netting,Nylon,R_2,Green,No,gambiae,gambiae,negative,coluzzii,undetected,-0.602318232,5.421440142,4,15-Sep-11,74,25.51,23.71,26.73,31.34,28.02,29.39,29.25,25.2,29.91,31.01,34.85,30.28,30.61,32.21,34.56,29.5,25.26,28.53219165,28.54142852
75,GH152,GH152,Coastal Savanna,Gomoa East,Okyereko,N05-24.845,W000-36.301,9/15/2011,29.83,25.26,23.47,27.64,83.34,28.9,77.1,0,0,Curtain,Cotton,R_2,Cream,Yes,gambiae,gambiae,negative,coluzzii,undetected,-0.602328232,5.421450142,4,15-Sep-11,75,25.56,27.14,26.46,30.3,29.62,26.38,30.5,28.44,27.06,27.4,31.68,31.46,36.42,30.8,29.94,29.28,25.26,28.53219165,28.50156615
76,GH155,GH155,Coastal Savanna,Gomoa East,Okyereko,N05-24.846,W000-36.302,9/15/2011,29.83,25.26,23.47,27.64,83.34,29.1,76.5,0,0,Wall,Cement,R_3,Green,No,gambiae,gambiae,negative,coluzzii,Human,-0.602338232,5.421460142,4,15-Sep-11,76,29.72,25.19,26.38,29.3,26.03,26.26,28.1,24.74,32.24,29.08,31.46,32.34,27.79,23.3,31.55,28.23,25.26,28.53219165,28.54016981
77,GH160,GH160,Coastal Savanna,Gomoa East,Okyereko,N05-24.847,W000-36.303,9/15/2011,29.83,25.26,23.47,27.64,83.34,28.5,77.4,17,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,coluzzii,Human,-0.602348232,5.421470142,4,15-Sep-11,77,26.54,22.34,27.6,29.33,25.4,26.84,31.66,27.45,26.79,31.73,29.41,32.52,31.67,30.17,34.42,28.93,25.26,28.53219165,28.53093273
78,GH161,GH161,Coastal Savanna,Gomoa East,Okyereko,N05-24.848,W000-36.304,9/15/2011,29.83,25.26,23.47,27.64,83.34,30.1,73.2,3,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,coluzzii,Human,-0.602358232,5.421480142,4,15-Sep-11,78,24.27,27.73,31.45,26.98,26.94,32.05,28.82,27.12,24.04,27.95,29.07,34.13,31.9,31.28,32.25,29.07,25.26,28.53219165,28.58051987
79,GH164,GH164,Coastal Savanna,Gomoa East,Okyereko,N05-24.849,W000-36.305,9/15/2011,29.83,25.26,23.47,27.64,83.34,31.4,67.6,1,0,Window Netting,Nylon,R_2,Yellow,No,gambiae,gambiae,negative,coluzzii,Human,-0.602368232,5.421490142,4,15-Sep-11,79,27.67,27.18,30.67,24.97,28.39,31.01,24.66,30.35,29.46,31.86,28.97,28.91,29.81,32.98,32.54,29.3,25.26,28.53219165,28.57747252
80,GH167,GH167,Coastal Savanna,Gomoa East,Okyereko,N05-24.850,W000-36.306,9/15/2011,29.83,25.26,23.47,27.64,83.34,30,67.9,1,0,Mosquito net,Polyester,R_2,White,Yes,gambiae,gambiae,negative,coluzzii,undetected,-0.602378232,5.421500142,4,15-Sep-11,80,26.9,27.13,27.25,31.31,31.58,30.17,28.67,27.59,25.08,31.02,28.6,30.42,29.18,32.08,29.97,29.13,25.26,28.53219165,28.60360377
81,GH169,GH169,Coastal Savanna,Gomoa East,Okyereko,N05-24.851,W000-36.307,9/15/2011,29.83,25.26,23.47,27.64,83.34,30.9,68,1,0,Window Netting,Nylon,R_2,Yellow,No,gambiae,gambiae,negative,coluzzii,Human,-0.602388232,5.421510142,4,15-Sep-11,81,27.25,27.89,24.03,24.72,32.39,31.43,30,27.14,26.79,33.28,29.4,31.81,27.37,31.77,28.37,28.91,25.26,28.53219165,28.47117827
82,GH172,GH172,Coastal Savanna,Gomoa East,Okyereko,N05-24.852,W000-36.308,9/15/2011,29.83,25.26,23.47,27.64,83.34,31,67,0,0,Rope,Cotton,R_2,White,Yes,gambiae,gambiae,negative,coluzzii,undetected,-0.602398232,5.421520142,4,15-Sep-11,82,28.17,29.51,26.08,25.89,29.31,27.69,31.9,31.97,30.99,35.05,29.2,32.81,27.46,34.89,33.07,30.27,25.26,28.53219165,28.51165971
83,GH177,GH177,Coastal Savanna,Gomoa East,Okyereko,N05-24.853,W000-36.309,9/15/2011,29.83,25.26,23.47,27.64,83.34,31.3,67,0,0,Window Netting,Nylon,R_2,Yellow,No,gambiae,gambiae,negative,coluzzii,undetected,-0.602408232,5.421530142,4,15-Sep-11,83,26.33,27.87,27.01,29.7,29.46,30.57,29.06,33.06,33.58,28.4,32,29.99,30.26,31.09,31.02,29.96,25.26,28.53219165,28.36456868
84,GH179,GH179,Coastal Savanna,Gomoa East,Okyereko,N05-24.854,W000-36.310,9/15/2011,29.83,25.26,23.47,27.64,83.34,31.4,68,1,0,Window Netting,Nylon,R_2,Yellow,No,gambiae,gambiae,negative,coluzzii,undetected,-0.602418232,5.421540142,4,15-Sep-11,84,28.8,25.87,28.38,25.11,27.94,29.23,24.21,31.66,28.4,30.75,32.58,32.38,33.94,28.66,31.51,29.3,25.26,28.53219165,28.29571718
85,GH182,GH182,Coastal Savanna,Gomoa East,Okyereko,N05-24.855,W000-36.311,9/15/2011,29.83,25.26,23.47,27.64,83.34,31.4,68,1,0,Window Netting,Nylon,R_2,Yellow,No,gambiae,gambiae,negative,coluzzii,undetected,-0.602428232,5.421550142,4,15-Sep-11,85,26.7,25.59,26.52,26.83,28.65,26.18,28.93,25.39,31.4,33.58,34.6,29.47,31.03,30,29.51,28.96,25.26,28.53219165,28.56143533
86,GH187,GH187,Coastal Savanna,Gomoa East,Okyereko,N05-24.856,W000-36.312,9/15/2011,29.83,25.26,23.47,27.64,83.34,31.2,68,0,0,Mosquito net,Polyester,R_2,Green,Yes,gambiae,gambiae,negative,coluzzii,undetected,-0.602438232,5.421560142,4,15-Sep-11,86,28.04,27.05,33,25.3,25.12,26.71,26.01,32.11,25.7,30.28,24.77,29.97,34.66,30.77,30.16,28.64,25.26,28.53219165,28.5420134
87,GH190,GH190,Coastal Savanna,Gomoa East,Okyereko,N05-24.857,W000-36.313,9/15/2011,29.83,25.26,23.47,27.64,83.34,31.2,68,0,0,Mosquito net,Polyester,R_2,Green,Yes,gambiae,gambiae,negative,coluzzii,undetected,-0.602448232,5.421570142,4,15-Sep-11,87,29.9,28.12,27.46,29.68,29.24,28.85,26.55,26.02,33.24,28.21,31.91,33.26,29.44,29.83,25.95,29.18,25.26,28.53219165,28.53864626
88,GH191,GH191,Forest,Adansi Asokwa,Atatam,N06-17.377,W001-27.545,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.6,68.2,1,0,Roofing beam,Wood,R_1,Normal,Yes,funestus,funestus,negative,funestus,Human,-1.459445059,6.285434297,5,10-Oct-11,88,28.29,24.85,25.18,29.25,27.23,29.22,26.43,28.83,29.03,27.38,29.94,26.23,32.31,26.69,27.5,27.89,24.11,27.23322014,27.26882586
89,GH192,GH192,Forest,Adansi Asokwa,Atatam,N06-17.378,W001-27.546,10/10/2011,29.7,24.11,22.07,28.67,88.27,29,71.3,0,0,Roofing beam,Wood,R_1,Normal,Yes,funestus,funestus,negative,funestus,Human,-1.459455059,6.285444297,5,10-Oct-11,89,26.44,26.92,27.78,29.19,29.34,27.94,26.98,30.79,27.15,33.2,30.07,31.34,31.21,32.67,27.7,29.25,24.11,27.23322014,27.11502111
90,GH193,GH193,Forest,Adansi Asokwa,Atatam,N06-17.379,W001-27.547,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.1,71.4,0,0,Roofing beam,Wood,R_1,Normal,Yes,funestus,funestus,negative,funestus,Human,-1.459465059,6.285454297,5,10-Oct-11,90,30.02,29.72,25.69,29.24,27.69,26.31,31.68,28.49,30.01,36.11,26.73,33.05,31.78,33.14,31.08,30.05,24.11,27.23322014,27.3159735
91,GH194,GH194,Forest,Adansi Asokwa,Atatam,N06-17.380,W001-27.548,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.2,70.6,0,0,Mosquito net,Polyester,R_2,Green,Yes,gambiae,gambiae,negative,gambiae,Human,-1.459475059,6.285464297,5,10-Oct-11,91,29.64,27.11,28.5,29.52,26.93,23.65,26.9,28.64,27.08,27.26,30.63,29.97,31.4,29.43,28.93,28.37,24.11,27.23322014,27.24030338
92,GH195,GH195,Forest,Adansi Asokwa,Atatam,N06-17.381,W001-27.549,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.2,70.6,0,0,Mosquito net,Polyester,R_2,Green,Yes,gambiae,gambiae,negative,gambiae,Human,-1.459485059,6.285474297,5,10-Oct-11,92,28.56,25.67,28.69,29.72,28,29.76,27.85,29.31,29.16,30.07,28.83,32.32,32.79,32.28,32.46,29.7,24.11,27.23322014,27.14528795
93,GH196,GH196,Forest,Adansi Asokwa,Atatam,N06-17.382,W001-27.550,10/10/2011,29.7,24.11,22.07,28.67,88.27,30.1,71.8,0,0,Wall,Mud,R_1,Smoke tanned,No,gambiae,gambiae,negative,gambiae,Human,-1.459495059,6.285484297,5,10-Oct-11,93,27.81,26.7,28.99,23.39,27.64,28.01,29.36,30.05,29.29,25.99,31.58,29.09,30.89,30.45,31.6,28.72,24.11,27.23322014,27.30535579
94,GH198,GH198,Forest,Adansi Asokwa,Atatam,N06-17.383,W001-27.551,10/10/2011,29.7,24.11,22.07,28.67,88.27,30.5,65.8,0,0,Roof,Aluminium,R_3,Normal,No,funestus,funestus,negative,funestus,Human,-1.459505059,6.285494297,5,10-Oct-11,94,25.71,30.07,24.19,27.81,31.19,30.06,31.08,30,31.88,29.97,28.01,31.22,33.25,30.5,30.3,29.68,24.11,27.23322014,27.43281258
95,GH199,GH199,Forest,Adansi Asokwa,Atatam,N06-17.384,W001-27.552,10/10/2011,29.7,24.11,22.07,28.67,88.27,30.7,66,0,0,Roof,Aluminium,R_3,Normal,No,gambiae,gambiae,negative,gambiae,Human,-1.459515059,6.285504297,5,10-Oct-11,95,30.54,28.7,28.66,28.44,29.04,24.97,27.3,24.82,27.67,29.05,39.08,30.83,32.09,32.69,27.62,29.43,24.11,27.23322014,27.06663897
96,GH200,GH200,Forest,Adansi Asokwa,Atatam,N06-17.385,W001-27.553,10/10/2011,29.7,24.11,22.07,28.67,88.27,30.2,67.3,21,0,Roofing beam,Bamboo,R_1,Normal,No,gambiae,gambiae,negative,gambiae,Human,-1.459525059,6.285514297,5,10-Oct-11,96,25.78,30.37,28.88,29.93,29.58,25.68,26.91,28.58,28.13,29.77,28.81,30.73,30.88,32.24,29.89,29.08,24.11,27.23322014,27.202295
97,GH201,GH201,Forest,Adansi Asokwa,Atatam,N06-17.386,W001-27.554,10/10/2011,29.7,24.11,22.07,28.67,88.27,30,66.6,0,0,Mosquito net,Polyester,R_2,Green,Yes,funestus,funestus,negative,funestus,Human,-1.459535059,6.285524297,5,10-Oct-11,97,32.54,27.71,24.68,25.29,25.52,28.45,27.66,29.7,29.34,36.82,30.03,27.71,30.63,29.8,33.68,29.3,24.11,27.23322014,27.286797
98,GH203,GH203,Forest,Adansi Asokwa,Atatam,N06-17.387,W001-27.555,10/10/2011,29.7,24.11,22.07,28.67,88.27,30,68.5,0,0,Wall,Mud,R_1,Smoke tanned,No,funestus,funestus,negative,funestus,undetected,-1.459545059,6.285534297,5,10-Oct-11,98,30.95,28.36,30.44,26.96,32.17,25.3,26.07,30.44,31.22,26.4,27.73,30.41,27.81,29.44,32.67,29.09,24.11,27.23322014,27.12597308
99,GH204,GH204,Forest,Adansi Asokwa,Atatam,N06-17.388,W001-27.556,10/10/2011,29.7,24.11,22.07,28.67,88.27,29,68,0,0,Wall,Mud,R_1,Smoke tanned,No,funestus,funestus,negative,funestus,Human,-1.459555059,6.285544297,5,10-Oct-11,99,26.66,26.01,30.03,25.56,28.92,23.91,31.15,28.24,33.64,30.85,29.92,28.83,29.33,32.54,30.76,29.09,24.11,27.23322014,27.43457913
100,GH211,GH211,Forest,Adansi Asokwa,Atatam,N06-17.389,W001-27.557,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.5,69.5,0,0,Wall,Cement,R_3,Yellow,No,funestus,funestus,negative,funestus,undetected,-1.459565059,6.285554297,5,10-Oct-11,100,24.74,28.84,33.71,30.74,26.45,30.63,23.62,27.3,32.88,34.25,35.89,29.93,30.27,28.8,26.07,29.61,24.11,27.23322014,27.07451151
101,GH212,GH212,Forest,Adansi Asokwa,Atatam,N06-17.390,W001-27.558,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.8,68.6,0,0,Under Table,Wood,R_1,Normal,Yes,gambiae,gambiae,negative,gambiae,Human,-1.459575059,6.285564297,5,10-Oct-11,101,25.51,26.14,28.51,31.28,29.28,30.91,27.64,25.69,31.37,28.31,29.77,33.29,33.18,29.51,30.33,29.38,24.11,27.23322014,27.23244072
102,GH213,GH213,Forest,Adansi Asokwa,Atatam,N06-17.391,W001-27.559,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.4,70.3,22,0,Clothing,Nylon,R_2,Black,Yes,funestus,funestus,negative,funestus,Human,-1.459585059,6.285574297,5,10-Oct-11,102,27.86,23.92,28.24,30.08,30.64,26.22,25.42,27.24,24.42,27.81,32.19,29.43,32.82,34.58,24.42,28.35,24.11,27.23322014,27.40943147
103,GH214,GH214,Forest,Adansi Asokwa,Atatam,N06-17.392,W001-27.560,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.8,69.5,5,0,Bag,Polythene,R_2,Black,Yes,gambiae,gambiae,negative,gambiae,undetected,-1.459595059,6.285584297,5,10-Oct-11,103,26.63,27.68,28.36,25.2,25.17,28.06,24.17,28.71,31.34,29.91,28.43,30.72,28.95,31.61,35.82,28.72,24.11,27.23322014,27.13160584
104,GH216,GH216,Forest,Adansi Asokwa,Atatam,N06-17.393,W001-27.561,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.3,71.3,0,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,gambiae,Human,-1.459605059,6.285594297,5,10-Oct-11,104,26.39,32.09,28.29,29.27,32.63,25.97,28.99,27.46,30.87,32.95,34.45,31.05,29.75,30.14,31.6,30.13,24.11,27.23322014,27.15913212
105,GH218,GH218,Forest,Adansi Asokwa,Atatam,N06-17.394,W001-27.562,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.7,71.5,0,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,gambiae,Human,-1.459615059,6.285604297,5,10-Oct-11,105,24.92,29.31,23.64,30.96,28.15,29.49,32.65,30.45,27.35,28.96,31.85,30.34,35.12,28.36,34.57,29.74,24.11,27.23322014,27.28630462
106,GH219,GH219,Forest,Adansi Asokwa,Atatam,N06-17.395,W001-27.563,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.7,70.7,0,0,Wall,Mud,R_1,Normal,No,funestus,funestus,negative,funestus,Human,-1.459625059,6.285614297,5,10-Oct-11,106,27.12,30.2,24.07,28.58,31.25,28.65,32.88,29.9,27.67,27.31,28.97,32.76,27.48,32.96,31.09,29.39,24.11,27.23322014,27.23701808
107,GH220,GH220,Forest,Adansi Asokwa,Atatam,N06-17.396,W001-27.564,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.8,70.8,0,0,Cielling,Palm Frond,R_1,Normal,No,gambiae,gambiae,negative,gambiae,undetected,-1.459635059,6.285624297,5,10-Oct-11,107,25.33,28.24,27.94,26.8,28.71,26.61,27.55,25.1,25.72,29.97,31.27,30.7,31.34,29.88,36.55,28.78,24.11,27.23322014,27.14702345
108,GH222,GH222,Forest,Adansi Asokwa,Atatam,N06-17.397,W001-27.565,10/10/2011,29.7,24.11,22.07,28.67,88.27,30.5,67.9,0,0,Cielling,Palm Frond,R_1,Normal,No,gambiae,gambiae,negative,gambiae,undetected,-1.459645059,6.285634297,5,10-Oct-11,108,23.19,25.89,26.72,25.53,27.73,26.85,27.22,29.78,29.01,24.9,29.77,31.18,31.58,31.46,29.33,28.01,24.11,27.23322014,27.21785378
109,GH235,GH235,Forest,Adansi Asokwa,Atatam,N06-17.398,W001-27.566,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.5,71.3,46,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,gambiae,undetected,-1.459655059,6.285644297,5,10-Oct-11,109,26.31,26.88,28.26,26.56,24.08,26.15,27.61,30.32,29.26,26.22,31.95,28.64,29.69,34.11,33.55,28.64,24.11,27.23322014,27.61085184
110,GH237,GH237,Forest,Adansi Asokwa,Atatam,N06-17.399,W001-27.567,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.3,72.4,9,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,gambiae,Human,-1.459665059,6.285654297,5,10-Oct-11,110,29.46,26.71,23,29.91,25.86,29.78,30.64,28.37,24.78,32.43,28.75,29.87,27.57,30.69,31.49,28.62,24.11,27.23322014,27.37107838
111,GH239,GH239,Forest,Adansi Asokwa,Atatam,N06-17.400,W001-27.568,10/10/2011,29.7,24.11,22.07,28.67,88.27,30.3,73.1,1,0,Wall,Mud,R_1,Normal,No,funestus,funestus,negative,funestus,Human,-1.459675059,6.285664297,5,10-Oct-11,111,25.84,26.23,24.49,27.12,28.43,30.11,22.7,28.94,25.2,30.91,31.84,29.23,29.95,33.72,33.28,28.53,24.11,27.23322014,27.33702386
112,GH240,GH240,Forest,Adansi Asokwa,Atatam,N06-17.401,W001-27.569,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.9,70.3,3,0,Wall,Mud,R_1,Normal,No,funestus,funestus,negative,funestus,Human,-1.459685059,6.285674297,5,10-Oct-11,112,28.71,29.08,25.45,28.72,30.54,29.64,29.52,27.96,29.46,24.52,34.55,31.95,37.43,28.44,28.3,29.62,24.11,27.23322014,27.36535924
113,GH242,GH242,Forest,Adansi Asokwa,Atatam,N06-17.402,W001-27.570,10/10/2011,29.7,24.11,22.07,28.67,88.27,30.2,71.2,36,0,Wall,Mud,R_1,Normal,No,funestus,funestus,negative,funestus,Human,-1.459695059,6.285684297,5,10-Oct-11,113,23.31,24.46,30.52,31.31,23.97,26.68,27.93,28.29,26.55,31.3,33.78,33.6,30.64,26.94,36.95,29.08,24.11,27.23322014,27.22528492
114,GH243,GH243,Forest,Adansi Asokwa,Atatam,N06-17.403,W001-27.571,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.7,71.3,24,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,gambiae,Human,-1.459705059,6.285694297,5,10-Oct-11,114,27.1,29.47,25.46,29.57,31.87,24.39,27.11,26.56,28.31,24.2,31.45,29.68,30.36,32.01,32.25,28.65,24.11,27.23322014,27.11838488
115,GH246,GH246,Forest,Adansi Asokwa,Atatam,N06-17.404,W001-27.572,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.8,72.2,128,0,Roofing beam,Wood,R_1,Normal,No,funestus,funestus,negative,funestus,undetected,-1.459715059,6.285704297,5,10-Oct-11,115,28.49,29.47,26.19,31.48,31.93,30.01,24.05,30.04,31.49,28.71,31.52,25.43,31.34,34.11,30.31,29.64,24.11,27.23322014,27.37800612
116,GH249,GH249,Forest,Adansi Asokwa,Atatam,N06-17.405,W001-27.573,10/10/2011,29.7,24.11,22.07,28.67,88.27,29.9,70.5,90,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,gambiae,undetected,-1.459725059,6.285714297,5,10-Oct-11,116,27.96,24.46,28.32,24.04,25.76,28.29,28.42,26.03,28.01,30.52,31.74,28.75,28.07,29.94,28.64,27.93,24.11,27.23322014,27.31362376
